machine_id,server_name,operating_system,department,ip_address,network_segment,criticality,log_source
SRV-0001,soc-node-0001,Windows,Tecnologia,84.9.164.252,Segment A,Low,Server
SRV-0002,soc-node-0002,Windows,Finanzas,66.191.137.154,Segment B,Low,Firewall
SRV-0003,soc-node-0003,Windows,Operaciones,198.219.82.17,Segment C,Low,Firewall
SRV-0004,soc-node-0004,Mac OS X,Finanzas,101.228.192.255,Segment B,Medium,Firewall
SRV-0005,soc-node-0005,Windows,Operaciones,189.243.174.238,Segment C,Low,Firewall
SRV-0006,soc-node-0006,Linux,Operaciones,147.190.155.133,Segment C,Medium,Server
SRV-0007,soc-node-0007,Linux,Tecnologia,77.16.101.53,Segment A,High,Server
SRV-0008,soc-node-0008,Mac OS X,Tecnologia,178.157.14.116,Segment A,High,Firewall
SRV-0009,soc-node-0009,Mac OS X,Finanzas,72.202.237.9,Segment B,High,Server
SRV-0010,soc-node-0010,Windows,Tecnologia,160.88.194.172,Segment A,Medium,Server
SRV-0011,soc-node-0011,Mac OS X,Finanzas,196.218.124.169,Segment B,Medium,Server
SRV-0012,soc-node-0012,Linux,Finanzas,112.43.185.24,Segment B,Low,Firewall
SRV-0013,soc-node-0013,Windows,Finanzas,98.96.110.38,Segment B,Medium,Server
SRV-0014,soc-node-0014,Windows,Operaciones,111.204.103.106,Segment C,Low,Firewall
SRV-0015,soc-node-0015,Linux,Finanzas,62.112.149.214,Segment B,High,Firewall
SRV-0016,soc-node-0016,Linux,Operaciones,12.192.2.112,Segment C,Medium,Firewall
SRV-0017,soc-node-0017,Windows,Finanzas,136.159.186.239,Segment B,High,Server
SRV-0018,soc-node-0018,Linux,Finanzas,32.26.31.49,Segment B,Low,Firewall
SRV-0019,soc-node-0019,Windows,Operaciones,47.125.34.52,Segment C,High,Firewall
SRV-0020,soc-node-0020,Mac OS X,Finanzas,110.80.185.102,Segment B,High,Server
SRV-0021,soc-node-0021,Mac OS X,Tecnologia,170.92.148.90,Segment A,Medium,Firewall
SRV-0022,soc-node-0022,Windows,Operaciones,196.26.121.164,Segment C,Low,Server
SRV-0023,soc-node-0023,Windows,Tecnologia,76.146.23.52,Segment A,High,Server
SRV-0024,soc-node-0024,Windows,Tecnologia,68.194.124.162,Segment A,Medium,Firewall
SRV-0025,soc-node-0025,Windows,Operaciones,105.193.254.47,Segment C,Medium,Server
SRV-0026,soc-node-0026,Windows,Operaciones,9.149.23.14,Segment C,Low,Firewall
SRV-0027,soc-node-0027,Windows,Operaciones,153.211.183.215,Segment C,High,Firewall
